Value.CurrentRepetition,Value.ElapsedTime,Value.LostFocusTime,Value.Mode,Value.PatientID,Value.Repetitions,Value.Time,Value.ToolData,Value.ToolEnded,Value.TrialID,Value.Type,Value.x,Value.y,Value.z
,0,,Normal,Default,5,7/29/2022 3:54:24 PM,,false,92704cd1-8079-490a-ac1e-0bb1ed03fbef,FingerFollowConfig,,,
,2,,,,,7/29/2022 3:54:24 PM,FingerFollowData,,,LeftControllerPosition,-0.30600491166114807,0.8584347367286682,0.39269644021987915
,2,,,,,7/29/2022 3:54:24 PM,FingerFollowData,,,RightControllerPosition,0.0834701731801033,0.8326022624969482,0.28582310676574707
,81,,,,,7/29/2022 3:54:24 PM,FingerFollowData,,,LeftControllerPosition,-0.30606186389923096,0.8590893745422363,0.3923834264278412
,81,,,,,7/29/2022 3:54:24 PM,FingerFollowData,,,RightControllerPosition,0.08482032269239426,0.8401272892951965,0.28629064559936523
,164,,,,,7/29/2022 3:54:24 PM,FingerFollowData,,,LeftControllerPosition,-0.3072030544281006,0.8615075945854187,0.390299916267395
,164,,,,,7/29/2022 3:54:24 PM,FingerFollowData,,,RightControllerPosition,0.0859377384185791,0.8582639694213867,0.28735342621803284
,247,,,,,7/29/2022 3:54:24 PM,FingerFollowData,,,LeftControllerPosition,-0.305262953042984,0.8624348044395447,0.3887556791305542
,247,,,,,7/29/2022 3:54:24 PM,FingerFollowData,,,RightControllerPosition,0.08861958980560303,0.9083531498908997,0.2733181416988373
,331,,,,,7/29/2022 3:54:24 PM,FingerFollowData,,,LeftControllerPosition,-0.30298125743865967,0.8635436296463013,0.38529521226882935
,331,,,,,7/29/2022 3:54:24 PM,FingerFollowData,,,RightControllerPosition,0.11544927954673767,0.9271188378334045,0.2524808645248413
,415,,,,,7/29/2022 3:54:24 PM,FingerFollowData,,,LeftControllerPosition,-0.30570581555366516,0.8634783029556274,0.3839847147464752
,415,,,,,7/29/2022 3:54:24 PM,FingerFollowData,,,RightControllerPosition,0.11960119009017944,0.9131374359130859,0.24960863590240479
,498,,,,,7/29/2022 3:54:24 PM,FingerFollowData,,,LeftControllerPosition,-0.30368131399154663,0.8642317652702332,0.3829542100429535
,498,,,,,7/29/2022 3:54:24 PM,FingerFollowData,,,RightControllerPosition,0.10457752645015717,0.9024074077606201,0.255746990442276
,582,,,,,7/29/2022 3:54:24 PM,FingerFollowData,,,LeftControllerPosition,-0.30156221985816956,0.8613783717155457,0.38426902890205383
,582,,,,,7/29/2022 3:54:24 PM,FingerFollowData,,,RightControllerPosition,0.08720850944519043,0.9086621999740601,0.2625628113746643
,665,,,,,7/29/2022 3:54:24 PM,FingerFollowData,,,LeftControllerPosition,-0.30507194995880127,0.8606968522071838,0.38308706879615784
,665,,,,,7/29/2022 3:54:24 PM,FingerFollowData,,,RightControllerPosition,0.060906704515218735,0.9283871054649353,0.27474337816238403
,748,,,,,7/29/2022 3:54:24 PM,FingerFollowData,,,LeftControllerPosition,-0.30294108390808105,0.8597428798675537,0.38251301646232605
,748,,,,,7/29/2022 3:54:24 PM,FingerFollowData,,,RightControllerPosition,0.029711605980992317,0.9412029981613159,0.29183125495910645
,832,,,,,7/29/2022 3:54:25 PM,FingerFollowData,,,LeftControllerPosition,-0.30109044909477234,0.8580477237701416,0.3828113079071045
,832,,,,,7/29/2022 3:54:25 PM,FingerFollowData,,,RightControllerPosition,-0.0030149295926094055,0.9494390487670898,0.3200094401836395
,916,,,,,7/29/2022 3:54:25 PM,FingerFollowData,,,LeftControllerPosition,-0.29907941818237305,0.8562261462211609,0.3845578730106354
,916,,,,,7/29/2022 3:54:25 PM,FingerFollowData,,,RightControllerPosition,-0.037654802203178406,0.9643712639808655,0.3513450622558594
,999,,,,,7/29/2022 3:54:25 PM,FingerFollowData,,,LeftControllerPosition,-0.29947084188461304,0.8552535772323608,0.3854855000972748
,999,,,,,7/29/2022 3:54:25 PM,FingerFollowData,,,RightControllerPosition,-0.07450104504823685,0.9817569851875305,0.3839109241962433
,1083,,,,,7/29/2022 3:54:25 PM,FingerFollowData,,,LeftControllerPosition,-0.29944705963134766,0.8559659719467163,0.38515540957450867
,1083,,,,,7/29/2022 3:54:25 PM,FingerFollowData,,,RightControllerPosition,-0.11026867479085922,1.0059751272201538,0.4096396565437317
,1167,,,,,7/29/2022 3:54:25 PM,FingerFollowData,,,LeftControllerPosition,-0.2988367974758148,0.8549489378929138,0.3866765797138214
,1167,,,,,7/29/2022 3:54:25 PM,FingerFollowData,,,RightControllerPosition,-0.14496515691280365,1.0291106700897217,0.42892900109291077
,1250,,,,,7/29/2022 3:54:25 PM,FingerFollowData,,,LeftControllerPosition,-0.29649806022644043,0.8540784120559692,0.3873208463191986
,1250,,,,,7/29/2022 3:54:25 PM,FingerFollowData,,,RightControllerPosition,-0.17311237752437592,1.0460205078125,0.4493523836135864
,1334,,,,,7/29/2022 3:54:25 PM,FingerFollowData,,,LeftControllerPosition,-0.2960447371006012,0.854364812374115,0.38690802454948425
,1334,,,,,7/29/2022 3:54:25 PM,FingerFollowData,,,RightControllerPosition,-0.19356565177440643,1.0490072965621948,0.468108594417572
,1404,,,,,7/29/2022 3:54:25 PM,FingerFollowData,,,LeftControllerPosition,-0.2956012487411499,0.8543503284454346,0.38735708594322205
,1404,,,,,7/29/2022 3:54:25 PM,FingerFollowData,,,RightControllerPosition,-0.2040511667728424,1.0507465600967407,0.48039066791534424
,1488,,,,,7/29/2022 3:54:25 PM,FingerFollowData,,,LeftControllerPosition,-0.2963631749153137,0.854547381401062,0.3880210518836975
,1488,,,,,7/29/2022 3:54:25 PM,FingerFollowData,,,RightControllerPosition,-0.2093382477760315,1.051044225692749,0.49170392751693726
,1571,,,,,7/29/2022 3:54:25 PM,FingerFollowData,,,LeftControllerPosition,-0.29616251587867737,0.8542020320892334,0.3883375823497772
,1571,,,,,7/29/2022 3:54:25 PM,FingerFollowData,,,RightControllerPosition,-0.20751403272151947,1.0531402826309204,0.5016670823097229
,1655,,,,,7/29/2022 3:54:25 PM,FingerFollowData,,,LeftControllerPosition,-0.2966196537017822,0.8541224002838135,0.3884773850440979
,1655,,,,,7/29/2022 3:54:25 PM,FingerFollowData,,,RightControllerPosition,-0.20418864488601685,1.0525026321411133,0.5083186030387878
,1739,,,,,7/29/2022 3:54:25 PM,FingerFollowData,,,LeftControllerPosition,-0.29603147506713867,0.8538809418678284,0.3889731764793396
,1739,,,,,7/29/2022 3:54:25 PM,FingerFollowData,,,RightControllerPosition,-0.20560866594314575,1.0568259954452515,0.5103151798248291
0,1753,0,,,,7/29/2022 3:54:25 PM,,,,FingerFollowData,,,
,1822,,,,,7/29/2022 3:54:26 PM,FingerFollowData,,,LeftControllerPosition,-0.29480108618736267,0.8533885478973389,0.3891052305698395
,1822,,,,,7/29/2022 3:54:26 PM,FingerFollowData,,,RightControllerPosition,-0.21045513451099396,1.055920124053955,0.5101500749588013
,1907,,,,,7/29/2022 3:54:26 PM,FingerFollowData,,,LeftControllerPosition,-0.2954699695110321,0.8537275791168213,0.38893643021583557
,1907,,,,,7/29/2022 3:54:26 PM,FingerFollowData,,,RightControllerPosition,-0.21553818881511688,1.0586744546890259,0.5097634792327881
,1989,,,,,7/29/2022 3:54:26 PM,FingerFollowData,,,LeftControllerPosition,-0.29539957642555237,0.8537483811378479,0.38884881138801575
,1989,,,,,7/29/2022 3:54:26 PM,FingerFollowData,,,RightControllerPosition,-0.21669520437717438,1.0570570230484009,0.5097359418869019
,2073,,,,,7/29/2022 3:54:26 PM,FingerFollowData,,,LeftControllerPosition,-0.2965001165866852,0.8539702892303467,0.38923943042755127
,2073,,,,,7/29/2022 3:54:26 PM,FingerFollowData,,,RightControllerPosition,-0.212132528424263,1.0503162145614624,0.5089227557182312
,2156,,,,,7/29/2022 3:54:26 PM,FingerFollowData,,,LeftControllerPosition,-0.2962549328804016,0.8539673686027527,0.38930192589759827
,2156,,,,,7/29/2022 3:54:26 PM,FingerFollowData,,,RightControllerPosition,-0.20504675805568695,1.0426361560821533,0.5077213048934937
,2240,,,,,7/29/2022 3:54:26 PM,FingerFollowData,,,LeftControllerPosition,-0.2961222529411316,0.8539367318153381,0.3889975845813751
,2240,,,,,7/29/2022 3:54:26 PM,FingerFollowData,,,RightControllerPosition,-0.19706441462039948,1.0359169244766235,0.5065732002258301
,2324,,,,,7/29/2022 3:54:26 PM,FingerFollowData,,,LeftControllerPosition,-0.2964116334915161,0.8540156483650208,0.38887983560562134
,2324,,,,,7/29/2022 3:54:26 PM,FingerFollowData,,,RightControllerPosition,-0.19231612980365753,1.0326008796691895,0.505852997303009
,2407,,,,,7/29/2022 3:54:26 PM,FingerFollowData,,,LeftControllerPosition,-0.29658740758895874,0.8539329767227173,0.3886995315551758
,2407,,,,,7/29/2022 3:54:26 PM,FingerFollowData,,,RightControllerPosition,-0.1864331066608429,1.0278409719467163,0.5029544234275818
,2491,,,,,7/29/2022 3:54:26 PM,FingerFollowData,,,LeftControllerPosition,-0.29641780257225037,0.8537607192993164,0.38896307349205017
,2491,,,,,7/29/2022 3:54:26 PM,FingerFollowData,,,RightControllerPosition,-0.1811857372522354,1.0217628479003906,0.5022237300872803
,2574,,,,,7/29/2022 3:54:26 PM,FingerFollowData,,,LeftControllerPosition,-0.2963784635066986,0.8537137508392334,0.38901448249816895
,2574,,,,,7/29/2022 3:54:26 PM,FingerFollowData,,,RightControllerPosition,-0.17667131125926971,1.0140342712402344,0.5013549327850342
,2658,,,,,7/29/2022 3:54:26 PM,FingerFollowData,,,LeftControllerPosition,-0.2963765859603882,0.8537075519561768,0.38870173692703247
,2658,,,,,7/29/2022 3:54:26 PM,FingerFollowData,,,RightControllerPosition,-0.1714106947183609,1.0064362287521362,0.5021567344665527
,2742,,,,,7/29/2022 3:54:26 PM,FingerFollowData,,,LeftControllerPosition,-0.2962569296360016,0.8537728190422058,0.3885652422904968
,2742,,,,,7/29/2022 3:54:26 PM,FingerFollowData,,,RightControllerPosition,-0.1658036708831787,0.9986961483955383,0.503864586353302
,2825,,,,,7/29/2022 3:54:27 PM,FingerFollowData,,,LeftControllerPosition,-0.29596295952796936,0.8537805676460266,0.3885142207145691
,2825,,,,,7/29/2022 3:54:27 PM,FingerFollowData,,,RightControllerPosition,-0.16029882431030273,0.9879321455955505,0.5059407353401184
,2908,,,,,7/29/2022 3:54:27 PM,FingerFollowData,,,LeftControllerPosition,-0.2957688570022583,0.8537992238998413,0.3884528577327728
,2908,,,,,7/29/2022 3:54:27 PM,FingerFollowData,,,RightControllerPosition,-0.1561257243156433,0.9786110520362854,0.5071588754653931
,2992,,,,,7/29/2022 3:54:27 PM,FingerFollowData,,,LeftControllerPosition,-0.29579299688339233,0.8538582921028137,0.388582706451416
,2992,,,,,7/29/2022 3:54:27 PM,FingerFollowData,,,RightControllerPosition,-0.1495363563299179,0.9710521697998047,0.5099913477897644
,3075,,,,,7/29/2022 3:54:27 PM,FingerFollowData,,,LeftControllerPosition,-0.295908123254776,0.8539613485336304,0.38860729336738586
,3075,,,,,7/29/2022 3:54:27 PM,FingerFollowData,,,RightControllerPosition,-0.1440168023109436,0.9669445753097534,0.5111236572265625
,3159,,,,,7/29/2022 3:54:27 PM,FingerFollowData,,,LeftControllerPosition,-0.29603490233421326,0.8540321588516235,0.38871344923973083
,3159,,,,,7/29/2022 3:54:27 PM,FingerFollowData,,,RightControllerPosition,-0.13853734731674194,0.9628408551216125,0.5110450387001038
,3229,,,,,7/29/2022 3:54:27 PM,FingerFollowData,,,LeftControllerPosition,-0.29595863819122314,0.8539345860481262,0.3888050615787506
,3229,,,,,7/29/2022 3:54:27 PM,FingerFollowData,,,RightControllerPosition,-0.13342708349227905,0.9597457647323608,0.5108290910720825
,3313,,,,,7/29/2022 3:54:27 PM,FingerFollowData,,,LeftControllerPosition,-0.29597344994544983,0.853980302810669,0.38843369483947754
,3313,,,,,7/29/2022 3:54:27 PM,FingerFollowData,,,RightControllerPosition,-0.12562134861946106,0.9535416960716248,0.5112041234970093
,3398,,,,,7/29/2022 3:54:27 PM,FingerFollowData,,,LeftControllerPosition,-0.2963487505912781,0.8541588187217712,0.38814496994018555
,3398,,,,,7/29/2022 3:54:27 PM,FingerFollowData,,,RightControllerPosition,-0.11916817724704742,0.9493587017059326,0.5110244154930115
,3480,,,,,7/29/2022 3:54:27 PM,FingerFollowData,,,LeftControllerPosition,-0.29608410596847534,0.8541838526725769,0.38790974020957947
,3480,,,,,7/29/2022 3:54:27 PM,FingerFollowData,,,RightControllerPosition,-0.11393442749977112,0.9465137720108032,0.5113491415977478
1,3536,0.13733559846878052,,,,7/29/2022 3:54:27 PM,,,,FingerFollowData,,,
,3564,,,,,7/29/2022 3:54:27 PM,FingerFollowData,,,LeftControllerPosition,-0.2957841157913208,0.8542047142982483,0.3877701461315155
,3564,,,,,7/29/2022 3:54:27 PM,FingerFollowData,,,RightControllerPosition,-0.10850182175636292,0.9561980366706848,0.5144996643066406
,3647,,,,,7/29/2022 3:54:27 PM,FingerFollowData,,,LeftControllerPosition,-0.2958974242210388,0.8541054129600525,0.3874843716621399
,3647,,,,,7/29/2022 3:54:27 PM,FingerFollowData,,,RightControllerPosition,-0.10492449253797531,0.9667596817016602,0.5157217979431152
,3731,,,,,7/29/2022 3:54:27 PM,FingerFollowData,,,LeftControllerPosition,-0.29582738876342773,0.8536463379859924,0.3873637020587921
,3731,,,,,7/29/2022 3:54:27 PM,FingerFollowData,,,RightControllerPosition,-0.10511619597673416,0.9697771668434143,0.5141977667808533
,3814,,,,,7/29/2022 3:54:28 PM,FingerFollowData,,,LeftControllerPosition,-0.29578661918640137,0.8532629609107971,0.38753247261047363
,3814,,,,,7/29/2022 3:54:28 PM,FingerFollowData,,,RightControllerPosition,-0.1041221171617508,0.9765160083770752,0.5140269994735718
,3898,,,,,7/29/2022 3:54:28 PM,FingerFollowData,,,LeftControllerPosition,-0.2961113452911377,0.8528869152069092,0.3878585994243622
,3898,,,,,7/29/2022 3:54:28 PM,FingerFollowData,,,RightControllerPosition,-0.10003933310508728,0.9843562841415405,0.515893816947937
,3982,,,,,7/29/2022 3:54:28 PM,FingerFollowData,,,LeftControllerPosition,-0.2962939739227295,0.8529724478721619,0.3883574903011322
,3982,,,,,7/29/2022 3:54:28 PM,FingerFollowData,,,RightControllerPosition,-0.09487222135066986,0.9905833005905151,0.517110288143158
,4065,,,,,7/29/2022 3:54:28 PM,FingerFollowData,,,LeftControllerPosition,-0.2963079512119293,0.852864146232605,0.3887355625629425
,4065,,,,,7/29/2022 3:54:28 PM,FingerFollowData,,,RightControllerPosition,-0.08880241960287094,0.9979230761528015,0.5180310606956482
,4148,,,,,7/29/2022 3:54:28 PM,FingerFollowData,,,LeftControllerPosition,-0.29648420214653015,0.8531515002250671,0.38881874084472656
,4148,,,,,7/29/2022 3:54:28 PM,FingerFollowData,,,RightControllerPosition,-0.08259192854166031,1.0043268203735352,0.5186312198638916
,4231,,,,,7/29/2022 3:54:28 PM,FingerFollowData,,,LeftControllerPosition,-0.29650261998176575,0.8532630205154419,0.3888474702835083
,4231,,,,,7/29/2022 3:54:28 PM,FingerFollowData,,,RightControllerPosition,-0.0769447535276413,1.0078538656234741,0.5185716152191162
,4315,,,,,7/29/2022 3:54:28 PM,FingerFollowData,,,LeftControllerPosition,-0.2964024245738983,0.8531621694564819,0.38880816102027893
,4315,,,,,7/29/2022 3:54:28 PM,FingerFollowData,,,RightControllerPosition,-0.06939654052257538,1.0117536783218384,0.5184244513511658
,4398,,,,,7/29/2022 3:54:28 PM,FingerFollowData,,,LeftControllerPosition,-0.2965226471424103,0.8527032732963562,0.38894933462142944
,4398,,,,,7/29/2022 3:54:28 PM,FingerFollowData,,,RightControllerPosition,-0.062113527208566666,1.0166103839874268,0.5185121297836304
,4481,,,,,7/29/2022 3:54:28 PM,FingerFollowData,,,LeftControllerPosition,-0.29689958691596985,0.8522652387619019,0.38925421237945557
